Code,Year,Borough,Severity_Fatal,Severity_Serious,Severity_Slight,Severity_Total,"Population, 2018","Rate of all casualties per 1,000 Population",,,
E09000001,2018,City of London,1,81,231,313,8700,35.977011494,,,
E09000002,2018,Barking and Dagenham,2,98,694,794,212000,3.7452830189,,,
E09000003,2018,Barnet,4,131,1078,1213,392100,3.0935985718,,,
E09000004,2018,Bexley,3,78,555,636,247300,2.5717751719,,,
E09000005,2018,Brent,5,150,950,1105,330800,3.3403869407,,,
E09000006,2018,Bromley,3,108,783,894,331100,2.7000906071,,,
E09000007,2018,Camden,5,147,872,1024,262200,3.9054157132,,,
E09000008,2018,Croydon,4,107,938,1049,385300,2.7225538541,,,
E09000009,2018,Ealing,5,139,1019,1163,342000,3.4005847953,,,
E09000010,2018,Enfield,8,118,1002,1128,333900,3.3782569632,,,
E09000011,2018,Greenwich,8,101,778,887,286200,3.0992313068,,,
E09000012,2018,Hackney,2,158,825,985,279700,3.5216303182,,,
E09000013,2018,Hammersmith and Fulham,1,111,676,788,185400,4.2502696872,,,
E09000014,2018,Haringey,2,116,900,1018,270600,3.7620103474,,,
E09000015,2018,Harrow,0,71,439,510,250100,2.0391843263,,,
E09000016,2018,Havering,3,77,704,784,257800,3.0411171451,,,
E09000017,2018,Hillingdon,6,119,793,918,304800,3.0118110236,,,
E09000018,2018,Hounslow,2,120,835,957,270800,3.5339734121,,,
E09000019,2018,Islington,2,139,711,852,239100,3.5633626098,,,
E09000020,2018,Kensington and Chelsea,3,123,624,750,156200,4.8015364917,,,
E09000021,2018,Kingston-upon-Thames,2,53,334,389,175500,2.2165242165,,,
E09000022,2018,Lambeth,1,201,1256,1458,325900,4.4737649586,,,
E09000023,2018,Lewisham,6,101,904,1011,303500,3.3311367381,,,
E09000024,2018,Merton,3,74,521,598,206200,2.9000969932,,,
E09000025,2018,Newham,5,103,978,1086,352000,3.0852272727,,,
E09000026,2018,Redbridge,1,103,883,987,303900,3.2477788746,,,
E09000027,2018,Richmond-upon-Thames,2,83,417,502,196900,2.5495175216,,,
E09000028,2018,Southwark,2,187,1100,1289,317300,4.0624015128,,,
